Covidence #,Study ID,Title,Reviewer Name,Study DOI,Year published ,Full title,Study setting ,Disease type (choose all that apply),Model type,"""Other"" details",Stochasticity in model ,Scientific problem being solved,How many parameters were calibrated?,External beliefs or evidence,Choice of parameters to calibrate ,What justification was provided for choice of parameters to calibrate?,"""Other"" details.",Type of data used for defining calibration targets (select all that apply),"""Other"" details ",How many calibration targets were used for estimation?,Resolution of data  used for defining calibration targets,Number of steps: single or sequential? ,Name of calibration algorithm ,"""Other"" details ",Is calibration implementation (code) available in an open-access repository? ,What programming language was used for calibration?,Do authors list any programming packages used for calibration?,Goodness-of-fit (GOF) measure employed within calibration algorithm,"If ""Not clear"", paste the relevant text here. ","""Other"" details",Nature of calibration results,"""Other"" details",How are calibration results reported? ,"""Other"" details.",How is uncertainty in calibration outputs reported? ,"""Other"" details.", What is the size of the calibration output?
1960,Cao 2023,Treatment strategies for the latent tuberculosis infections.,Consensus,https://doi.org/10.1007/s00285-023-01927-3,2023,Treatment strategies for the latent tuberculosis infections,China,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Parameters are uncertain.,"",Notifications / diagnoses,"",Other: Single,Not reported ,Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1958,Georgiev 2023,Mathematical Identification Analysis of a Fractional-Order Delayed Model for Tuberculosis.,Consensus,10.3390/fractalfract7070538 ,2023,Mathematical Identification Analysis of a Fractional-Order Delayed Model for Tuberculosis,Pakistan,TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"","Climate (e.g., temperature, humidity, rainfall); Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Least squares estimation,"",Not reported ,Matlab,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",4
1957,Chennaf 2023,Analysis of the Dynamics of Tuberculosis in Algeria Using a Compartmental VSEIT Model with Evaluation of the Vaccination and Treatment Effects,Consensus,https://doi.org/10.3390/computation11070146,2023,"Analysis of the Dynamics of Tuberculosis in Algeria Using
a Compartmental VSEIT Model with Evaluation of the
Vaccination and Treatment Effects",Algeria,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,Not reported,Subset of parameters,Not reported ,"",Notifications / diagnoses,"",Single ,"Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Least squares estimation,"",Not reported ,Matlab,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"",Numerical: e.g. as value(s).,"",Uncertainty in calibration outputs is not reported.,"",Not reported
1951,Swartwood 2023,Tabby2: a user-friendly web tool for forecasting state-level TB outcomes in the United States.,Consensus,https://doi.org/10.1186/s12916-023-02785-y,2023,Tabby2: a user-friendly web tool for forecasting state-level TB outcomes in the United States,United States,TB,Compartmental ,"",Not reported,Evaluate interventions; Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Maximum likelihood estimation,"",Link reported and accessible,R; C++,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1
1949,Guo 2023,Global Dynamics of an Age-Structured Tuberculosis Model with Vaccine Failure and Nonlinear Infection Force.,Consensus,https://doi.org/10.3390/axioms12090805,2023,Global Dynamics of an Age-Structured Tuberculosis Model with Vaccine Failure and Nonlinear Infection Force,China,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Parameters are uncertain.,"",Notifications / diagnoses,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Other ,Grey Wolf Optimizer (GWO),Not reported ,Matlab,Yes,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","",1
1913,Menzies 2018,Prospects for Tuberculosis Elimination in the United States: Results of a Transmission Dynamic Model.,Consensus,https://doi.org/10.1093%2Faje%2Fkwy094,2018,Prospects for Tuberculosis Elimination in the United States: Results of a Transmission Dynamic Model,USA,TB,Compartmental ,"",Deterministic model ,Evaluate interventions; Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Other ,Incremental Mixture Importance Sampling,Not reported ,R; C++,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
1902,Guo 2019,Epidemiological characteristics of pulmonary tuberculosis in mainland China from 2004 to 2015: a model-based analysis.,Consensus,https://doi.org/10.1186/s12889-019-6544-4,2019,Epidemiological characteristics of pulmonary tuberculosis in mainland China from 2004 to 2015: a model-based analysis,China,TB,Not reported,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Single ,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"",Incidence ; Notifications / diagnoses,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Not reported,"",Not reported ,Matlab,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",500
1864,Lin 2020,Shorter antibiotic regimens impact the control efforts in high tuberculosis burden regions of Taiwan.,Consensus,https://doi.org/10.1016/j.ijid.2020.05.082,2020,Shorter antibiotic regimens impact the control efforts in high tuberculosis burden regions of Taiwan,Taiwan,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"","Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,"",Not reported ,Other ,No,Other ,"",mean absolute percentage error,Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000"
1861,Cilloni 2020,The potential impact of the COVID-19 pandemic on the tuberculosis epidemic a modelling analysis.,Consensus,https://doi.org/10.1016/j.eclinm.2020.100603,2020,The potential impact of the COVID-19 pandemic on the tuberculosis epidemic a modelling analysis,"India, Kenya, Ukraine",TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",Fraction of drug resistance,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,"",Not reported ,Not reported,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",250
1859,Awine 2020,Accounting for regional transmission variability and the impact of malaria control interventions in Ghana: a population level mathematical modelling approach,Consensus,https://doi.org/10.1186/s12936-020-03496-y,2020,Accounting for regional transmission  variability and the impact of malaria control  interventions in Ghana: a population level mathematical modelling approach,Ghana,Malaria,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"",Notifications / diagnoses,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Approximate Bayesian Computation,"",Not reported ,Not reported,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","15,000"
1849,Menzies 2021,Time Since Infection and Risks of Future Disease for Individuals with Mycobacterium tuberculosis Infection in the United States.,Consensus,https://doi.org/10.1097/EDE.0000000000001271,2021,Time Since Infection and Risks of Future Disease for Individuals with Mycobacterium tuberculosis Infection in the United States,USA,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,Incremental Mixture Importance Sampling,Not reported ,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","5,000"
1847,Jiang 2021,"Assessment of Strategies and Epidemiological Characteristics of Tuberculosis in Henan Province, China: Observational Study.",Consensus,https://doi.org/10.2196%2F24830,2021,"Assessment of Strategies and Epidemiological Characteristics of Tuberculosis in Henan Province, China: Observational Study.",China,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,Bayesian melding,Not reported ,Not reported,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",50000
1754,Avilov 2022,Mathematical modelling of the progression of active tuberculosis: Insights from fluorography data.,Consensus,https://doi.org/10.1016/j.idm.2022.06.007,2022,Mathematical modelling of the progression of active tuberculosis: Insights from fluorography data,Russia,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Other ,TB detection data,Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1747,Collins 2022,A mathematical model for the dynamics and control of malaria in Nigeria,Consensus,https://doi.org/10.1016/j.idm.2022.10.005,2022,A mathematical model for the dynamics and control of malaria in Nigeria,Nigeria,Malaria,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,Not reported,Subset of parameters,Not reported ,"",Incidence ,"",Single ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Least squares estimation,"",Not reported ,Matlab,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1725,Kim 2020,Country-specific intervention strategies for top three TB burden countries using mathematical model.,Consensus,https://doi.org/10.1371/journal.pone.0230964,2020,Country-specific intervention strategies for top three TB burden countries using mathematical model,"India, China, and Indonesia",TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Not reported,"",Not reported ,Matlab,Yes,Other ,"", minimizing the error of the number of reported incident data to the model curve,Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1711,Clark 2023,New tuberculosis vaccines in India: modelling the potential health and economic impacts of adolescent/adult vaccination with M72/AS01(E) and BCG-revaccination.,Consensus,https://doi.org/10.1186/s12916-023-02992-7,2023,New tuberculosis vaccines in India: modelling the potential health and economic impacts of adolescent/adult vaccination with M72/AS01E and BCG-revaccination,India,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,Not reported ,"Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Approximate Bayesian Computation,"",Link reported and accessible,R,Yes,Not reported,"","",Distribution estimate (a distribution function which generates parameter values),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
1545,Cho 2021,Predicting the impact of control strategies on the tuberculosis burden in South and North Korea using a mathematical model.,Consensus,https://doi.org/10.1136/bmjgh-2021-005953,2021,Predicting the impact of control strategies on the tuberculosis burden in South and North Korea using a mathematical model,"South Korea, North Korea",TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"",Notifications / diagnoses; Other ,"DS-TB, MDR-TB reported cases",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Maximum likelihood estimation,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1530,Modu 2023,Agent-Based Modeling of Malaria Transmission,Consensus,https://doi.org/10.1109/ACCESS.2023.3248292,2023,Agent-Based Modeling of Malaria Transmission,"India, South Africa, Nigeria",Malaria,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ; Assess impact of model assumptions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Not reported,Parameters are uncertain.,"",Notifications / diagnoses,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Manual (hand-tuning),"",Not reported ,Other ,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
1524,Estill 2023,Tuberculosis screening among children and adolescents in China: insights from a mathematical model,Consensus,10.1016/j.imed.2022.09.001,2023,Tuberculosis screening among children and adolescents in China: insights from a mathematical model,China,TB,Compartmental ,"",Deterministic model ,Evaluate interventions; Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Manual (hand-tuning),"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ; Uncertainty in calibration outputs is not reported.","",Not reported
1501,Ahmad 2018,Analyzing Policymaking for Tuberculosis Control in Nigeria,Consensus,https://doi.org/10.1155/2018/9253846,2018,Analyzing Policymaking for Tuberculosis Control in Nigeria,Nigeria,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,Not reported,Subset of parameters,Not reported ,"",Prevalence,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Least squares estimation,fourth order Runge–Kutta method,Not reported ,Matlab,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"",R2,Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1407,Harris 2019,Age-targeted tuberculosis vaccination in China and implications for vaccine development: a modelling study,Consensus,http://dx.doi.org/10.1016/S2214-109X(18)30452-2,2019,Age-targeted tuberculosis vaccination in China and implications for vaccine development: a modelling study,China,TB,Compartmental ,"",Deterministic model ,Evaluate interventions; Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Other ,"two-stage calibration process: manual first, followed by approximate Bayesian computation (ABC)-Markov chain 
Monte Carlo (MCMC) ",Not reported ,R,Yes,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000"
1405,N'Diaye 2019,The potential impact and cost-effectiveness of tobacco reduction strategies for tuberculosis prevention in Canadian Inuit communities.,Consensus,https://doi.org/10.1186/s12916-019-1261-5,2019,The potential impact and cost-effectiveness of tobacco reduction strategies for tuberculosis prevention in Canadian Inuit communities,Canada,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Parameters are relevant to question of interest.,"",Incidence ; Other ,annual risk of infection (ARI),Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Other ,Root Mean Squared (RMS) deviation,Not reported ,Other ,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"",Numerical: e.g. as value(s).,"",Uncertainty in calibration outputs is not reported.,"",1
1393,Arinaminpathy 2019,Modelling the impact of effective private provider engagement on tuberculosis control in urban India.,Consensus,https://doi.org/10.1038/s41598-019-39799-7 ,2019,Modelling the impact of effective private provider engagement on tuberculosis control in urban India,India,TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Prevalence; Other ,"ARTI (Annual Risk of Transmission) and proportion of 
TB cases being multi-drug resistant",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,Bayesian melding,Not reported ,Not reported,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100,000"
1279,Corder 2020,Modelling the epidemiology of residual Plasmodium vivax malaria in a heterogeneous host population: A case study in the Amazon Basin.,Consensus,https://doi.org/10.1371/journal.pcbi.1007377,2020,Modelling the epidemiology of residual Plasmodium vivax malaria in a heterogeneous host population: A case study in the Amazon Basin,Brazil,Malaria,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,Other: No prior knowledge is incorporated for parameters to be calibrated.,Subset of parameters,Not reported ,"",Incidence ; Notifications / diagnoses,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,"Both Markov Chain Monte Carlo for Credible Intervals, and Maximum Likelihood Estimation",Not reported ,Matlab,Yes,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","",1
1259,Hippner 2019,Application of provincial data in mathematical modelling to inform sub-national tuberculosis program decision-making in South Africa.,Consensus,https://doi.org/10.1371/journal.pone.0209320,2019,Application of provincial data in mathematical modelling to inform sub-national tuberculosis program decision-making in South Africa,South Africa,TB,Compartmental ,"",Deterministic model ,Evaluate interventions; Assess impact of model assumptions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",TB screening data,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Manual (hand-tuning),"",Link reported but inaccessible,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1254,Arinaminpathy 2020,Modelling the potential impact of adherence technologies on tuberculosis in India.,Consensus,https://doi.org/10.5588/ijtld.19.0472,2020,Modelling the potential impact of adherence technologies on tuberculosis in India,India,TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Incidence ; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,Adaptive MCMC ,Not reported ,Not reported,No,Data likelihood ,"","",Distribution estimate (a distribution function which generates parameter values),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
1237,Culhane 2020,Modeling the health impact and cost threshold of long-acting ART for adolescents and young adults in Kenya.,Consensus,https://doi.org/10.1016/j.eclinm.2020.100453,2020,"Modeling the health impact and cost threshold of long-acting ART for
adolescents and young adults in Kenya",Kenya,HIV,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"",Prevalence,"",Multiple ,Not reported ,Not reported,Not reported,"",Not reported ,R,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
1232,Marx 2020,Cost-effectiveness of post-treatment follow-up examinations and secondary prevention of tuberculosis in a high-incidence setting: a model-based analysis.,Consensus,https://doi.org/10.1016/S2214-109X(20)30227-8,2020,Cost-effectiveness of post-treatment follow-up examinations and secondary prevention of tuberculosis in a high-incidence setting: a model-based analysis,South Africa,TB,Compartmental ,"",Stochastic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Other ",percentage of recurrent TB cases ,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,Sampling importance resampling,Link reported and accessible,Python; C++,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000"
