"Covidence..","Study.ID","Title","Reviewer.Name","Study.DOI","Year.published","Full.title","Study.setting","Disease.type..choose.all.that.apply.","Model.type","X.Other..details","Stochasticity.in.model","Scientific.problem.being.solved","How.many.parameters.were.calibrated.","External.beliefs.or.evidence","Choice.of.parameters.to.calibrate","What.justification.was.provided.for.choice.of.parameters.to.calibrate.","X.Other..details.","Type.of.data.used.for.defining.calibration.targets..select.all.that.apply.","X.Other..details..1","How.many.calibration.targets.were.used.for.estimation.","Resolution.of.data..used.for.defining.calibration.targets","Number.of.steps..single.or.sequential.","Name.of.calibration.algorithm","X.Other..details..2","Is.calibration.implementation..code..available.in.an.open.access.repository.","What.programming.language.was.used.for.calibration.","Do.authors.list.any.programming.packages.used.for.calibration.","Goodness.of.fit..GOF..measure.employed.within.calibration.algorithm","If..Not.clear...paste.the.relevant.text.here..","X.Other..details.1","Nature.of.calibration.results","X.Other..details.2","How.are.calibration.results.reported.","X.Other..details..3","How.is.uncertainty.in.calibration.outputs.reported.","X.Other..details..4","What.is.the.size.of.the.calibration.output."
1197,"Kasaie 2018","Economic and epidemiologic impact of guidelines for early ART initiation irrespective of CD4 count in Spain.","Consensus","https://doi.org/10.1371/journal.pone.0206755",2018,"Economic and epidemiologic impact of guidelines for early ART initiation irrespective of CD4 count in Spain","Spain","HIV","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ; Prevalence; Other ","Mortality","Multiple ","Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Other ","Bayesian melding","Not reported ","Not reported","No","Data likelihood ","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000,000"
1196,"Witbooi 2021","A model of malaria population dynamics with migrants","Consensus","https://doi.org/10.3934/mbe.2021361",2021,"A model of malaria population dynamics with migrants","South Africa","Malaria","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Not reported","Subset of parameters","Parameters are uncertain.","","Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Not reported","","Not reported ","Not reported","No","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
1186,"Marx 2018","Tuberculosis control interventions targeted to previously treated people in a high-incidence setting: a modelling study.","Consensus","http://dx.doi.org/10.1016/S2214-109X(18)30022-6",2018,"Tuberculosis control interventions targeted to previously treated people in a high-incidence setting: a modelling study","South Africa","TB","Compartmental ","","Stochastic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Not reported","","Not reported ","Not reported","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1000"
1185,"Cai 2021","Modelling the effects of the contaminated environments on tuberculosis in Jiangsu, China.","Consensus","https://doi.org/10.1016/j.jtbi.2020.110453",2020,"Modelling the effects of the contaminated environments on tuberculosis in Jiangsu, China","China","TB","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ","Not reported","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Not reported","Not reported ","","Incidence ","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Maximum likelihood estimation","hidden Markov model ","Not reported ","R","No","Data likelihood ","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
1183,"Fu 2021","Modelling the global burden of drug-resistant tuberculosis avertable by a post-exposure vaccine.","Consensus"," https://doi.org/10.1038/s41467-020-20731-x",2021,"Modelling the global burden of drug-resistant
tuberculosis avertable by a post-exposure vaccine"," India, Pakistan, Indonesia, Philippines, Myanmar, Bangladesh, Ethiopia, Russia Federation, Ukraine, South Africa, Mozambique, DR Congo, Zimbabwe, Nigeria, Thailand, Angola, Kenya, China, Viet Nam, DPR Korea, Kazakhstan, Uzbekistan, Somalia, Peru, Kyrgyzstan, Papua New Guinea, Tajikistan, Belarus, Republic of Moldova, Azerbaijan, ","TB","Compartmental ","","Not reported","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence","Mortality","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Markov Chain Monte Carlo","","Link reported and accessible","Matlab","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","200"
1169,"Crawford 2020","Transmission Modeling with Regression Adjustment for Analyzing Household-based Studies of Infectious Disease: Application to Tuberculosis","Consensus","https://doi.org/10.1097/EDE.0000000000001143",2019,"Transmission Modeling with Regression Adjustment for Analyzing Household-based Studies of Infectious Disease: Application to Tuberculosis","Peru","TB","Not reported","","Stochastic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions","Multiple","Not reported","Subset of parameters","Parameters are uncertain.","","Incidence ","","Single ","Not reported ","Not reported","Maximum likelihood estimation","","Not reported ","Not reported","No","Data likelihood ","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1"
1160,"Kubjane 2023","Drivers of sex differences in the South African adult tuberculosis incidence and mortality trends, 1990-2019.","Consensus","https://doi.org/10.1038/s41598-023-36432-6",2023,"Drivers of sex differences in the South African adult tuberculosis incidence and mortality trends, 1990–2019","South Africa","TB","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","mortality","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Other ","Incremental Mixture Importance Sampling","Not reported ","Not reported","No","Data likelihood ","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1000"
1159,"Woldegerima 2021","Mathematical analysis of the impact of transmission-blocking drugs on the population dynamics of malaria.","Consensus","https://doi.org/10.1016/j.amc.2021.126005",2021,"Mathematical analysis of the impact of transmission-blocking drugs on the population dynamics of malaria","Sub-Saharan Africa","Malaria","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Other ","Mortality","Single ","Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Least squares estimation","","Not reported ","Python","Yes","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
1155,"Kunkel 2021","Novel anti-malarial drug strategies to prevent artemisinin partner drug resistance: A model-based analysis.","Consensus","https://doi.org/10.1371/journal.pcbi.1008850",2021,"Novel anti-malarial drug strategies to prevent artemisinin partner drug resistance: A model-based analysis","Cambodia","Malaria","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ; Notifications / diagnoses; Prevalence; Other ","Resistance","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Other "," Incremental Mixture Importance Sampling","Link reported and accessible","Not reported","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","500"
1148,"Challenger 2021","Predicting the public health impact of a malaria transmission-blocking vaccine.","Consensus","https://doi.org/10.1038/s41467-021-21775-3 ",2021,"Predicting the public health impact of a malaria transmission-blocking vaccine","Burkina Faso","Malaria","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Incidence ; Prevalence","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Link reported and accessible","R","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
1140,"Han 2021","Assessing the impacts of short-course multidrug-resistant tuberculosis treatment in the Southeast Asia Region using a mathematical modeling approach.","Consensus","https://doi.org/10.1371/journal.pone.0248846",2021,"Assessing the impacts of short-course multidrug-resistant tuberculosis treatment in the Southeast Asia Region using a mathematical modeling approach","Southeast Asia","TB","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ; Other ","MDR-TB percentage among new TB cases","Multiple ","Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Markov Chain Monte Carlo","","Not reported ","R","Yes","Not reported","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","380,000"
1130,"Shaweno 2021","Assortative social mixing and sex disparities in tuberculosis burden.","Consensus","https://doi.org/10.1038%2Fs41598-021-86869-w",2021,"Assortative social mixing and sex disparities in tuberculosis burden.","Ethiopia, Uganda","TB","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.; Parameters are uncertain.","","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Link reported and accessible","Python; Other ","No","Data likelihood ","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","15000"
1099,"Estill 2018","How to achieve the global 90-90-90 target by 2020 in sub-Saharan Africa? A mathematical modelling study.","Consensus","10.1111/tmi.13145",2018,"How to achieve the global 90-90-90 target by 2020 in sub-Saharan Africa? A mathematical modelling study","sub-Saharan Africa","HIV","Not reported","","Not reported","Evaluate interventions; Predict disease trends ","Single ","Not reported","Subset of parameters","Parameters are relevant to question of interest.","","Treatment and treatment outcomes (e.g., mortality, recovery)","","Single ","Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Not reported","","Not reported ","Other ","No","Not reported","","","Not reported ","","Numerical: e.g. as value(s).",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
1078,"Ricks 2020","The potential impact of urine-LAM diagnostics on tuberculosis incidence and mortality: A modelling analysis.","Consensus","https://doi.org/10.1371/journal.pmed.1003466",2020,"The potential impact of urine-LAM diagnostics on tuberculosis incidence and mortality: A modelling analysis","South Africa, Kenya","TB","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","Proportion of TB cases coinfected with HIV, Percentage of HIV cases being hospitalised annually ","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Link reported but inaccessible","Matlab","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","5,000"
1072,"Palk 2018","A modeling study of the Danish HIV epidemic in men who have sex with men: travel, pre-exposure prophylaxis and elimination","Consensus","https://doi.org/10.1038/s41598-018-33570-0",2018,"A modeling study of the Danish HIV epidemic in men who have sex with men: travel, pre-exposure prophylaxis and elimination","Denmark","HIV","Not reported","","Not reported","Evaluate interventions; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","annual number of Danish MSM who become infected abroad, the number of non-resident MSM who arrive infected with HIV.","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","Matlab","No","Data likelihood ","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","20,000"
1069,"McCreesh 2018","Choice of time horizon critical in estimating costs and effects of changes to HIV programmes.","Consensus","https://doi.org/10.1371/journal.pone.0196480",2018,"Choice of time horizon critical in estimating costs and effects of changes to HIV programmes","Uganda","HIV","Individual-based ","","Stochastic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","proportion of men and women tested for HIV","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Other ","history matching with model emulation","Not reported ","Not reported","No","Not reported","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100"
1067,"Vinh 2018","Modeling tuberculosis dynamics with the presence of hyper-susceptible individuals for Ho Chi Minh City from 1996 to 2015.","Consensus","https://doi.org/10.1186/s12879-018-3383-3",2018,"Modeling tuberculosis dynamics with the presence of hyper-susceptible individuals for Ho Chi Minh City from 1996 to 2015","Viet Nam","TB","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Not reported","Subset of parameters","Not reported ","","Notifications / diagnoses; Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Maximum likelihood estimation","","Not reported ","C++","Yes","Data likelihood ","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
1047,"DeAnda 2023","Cost-effectiveness of internet-based HIV screening among gay, bisexual and other men who have sex with men (GBMSM) in Metro Vancouver, Canada.","Consensus","https://doi.org/10.1371/journal.pone.0294628",2023,"Cost-effectiveness of internet-based HIV screening among gay, bisexual and other men
who have sex with men (GBMSM) in Metro Vancouver, Canada","Canada","HIV","Compartmental ","","Not reported","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ","","Single ","Not reported ","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Markov Chain Monte Carlo","","Not reported ","Python","No","Not reported","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
1031,"Mandal 2020","The potential impact of preventive therapy against tuberculosis in the WHO South-East Asian Region: a modelling approach.","Consensus","https://doi.org/10.1186/s12916-020-01651-5",2020,"The potential impact of preventive therapy against tuberculosis in the WHO South-East Asian Region: a modelling approach","Bangladesh, Bhutan, DPR Korea, India, Indonesia, Maldives, Myanmar, Nepal, Sri Lanka, Thailand, Timor-Leste","TB","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ; Notifications / diagnoses; Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","Not reported","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","10,000"
1027,"Mittler 2019","Large benefits to youth-focused HIV treatment-as-prevention efforts in generalized heterosexual populations: An agent-based simulation model.","Consensus","https://doi.org/10.1371/journal.pcbi.1007561",2019,"Large benefits to youth-focused HIV treatment-as-prevention efforts in generalized heterosexual populations: An agent-based simulation model","sub-Saharan Africa","HIV","Individual-based ","","Stochastic model ","Evaluate interventions","Multiple","Not reported","Subset of parameters","Other"," we adjusted the parameters to give prevalence and incidence values and male-to-female infection ratios that fall within ranges seen in sub-Saharan epidemics.","Demographic (e.g., population size, sex and age distribution); Incidence ; Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Not reported","","Link reported and accessible","R","No","Not reported","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
1015,"Chemaitelly 2022","HIV incidence and impact of interventions among female sex workers and their clients in the Middle East and north Africa: a modelling study","Consensus","https://doi.org/10.1016/S2352-3018(22)00100-X",2022,"HIV incidence and impact of interventions among female sex workers and their clients in the Middle East and north Africa: a modelling study","Algeria, Bahrain, Djibouti, Iran, Libya, Morocco, Pakistan, Somalia, South Sudan, Sudan, Tunisia, Yemen","HIV","Individual-based ","","Stochastic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Not reported","Subset of parameters","Parameters are relevant to question of interest.; Parameters are uncertain.","","Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Least squares estimation","","Link reported and accessible","Matlab","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","500"
1014,"Johnson 2019","Optimal HIV testing strategies for South Africa: a model-based evaluation of population-level impact and cost-effectiveness.","Consensus","https://doi.org/10.1038/s41598-019-49109-w ",2019,"Optimal HIV testing strategies for South Africa: a model-based evaluation of population-level impact and cost-effectiveness","South Africa","HIV","Individual-based ","","Stochastic model ","Evaluate interventions; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Notifications / diagnoses; Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Maximum likelihood estimation","","Not reported ","Not reported","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","500"
1009,"Abou-Bakre 2018","Parameter inference for HIV stochastic diffusion model in closed heterosexual population","Consensus"," https://doi.org/10.1002/mma.4940",2018,"Parameter inference for HIV stochastic diffusion model in closed heterosexual population","Morocco","HIV","Compartmental ","","Stochastic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","No prior knowledge is incorporated for parameters to be calibrated. ","All parameters","Parameters are relevant to question of interest.","","Demographic (e.g., population size, sex and age distribution); Incidence ","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Other ","Diffusion approximation, minimum constrast estimation","Not reported ","Not reported","No","Data likelihood ","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1"
1003,"Cambiano 2018","Cost-effectiveness of pre-exposure prophylaxis for HIV prevention in men who have sex with men in the UK: a modelling study and health economic evaluation.","Consensus","10.1016/S1473-3099(17)30540-6",2018,"Cost-effectiveness of pre-exposure prophylaxis for HIV prevention in men who have sex with men in the UK: a modelling study and health economic evaluation","United Kingdom","HIV","Individual-based ","","Stochastic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Not reported ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Approximate Bayesian Computation","","Not reported ","Not reported","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Distribution estimate (a distribution function which generates parameter values)","","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100,000"
994,"Dale 2018","Estimating epidemiological parameters of a stochastic differential model of HIV dynamics using hierarchical Bayesian statistics.","Consensus","https://doi.org/10.1371/journal.pone.0200126",2018,"Estimating epidemiological parameters of a stochastic differential model of HIV dynamics using hierarchical Bayesian statistics","Not reported","HIV","Other"," a system of stochastic differential equations (SDEs)","Stochastic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Single ","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.","","Notifications / diagnoses","","Single ","Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Markov Chain Monte Carlo","","Link reported and accessible","R","Yes","Data likelihood ","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","100,000"
987,"Quan 2021","Improving health equity and ending the HIV epidemic in the USA: a distributional cost-effectiveness analysis in six cities.","Consensus","https://doi.org/10.1016/S2352-3018(21)00147-8",2021,"Improving health equity and ending the HIV epidemic in the USA: a distributional cost-effectiveness analysis in six cities","United States of America","HIV","Compartmental ","","Not reported","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Not reported ","","Not reported ","Not reported ","Not reported","Not reported","","Not reported ","Not reported","No","Not reported","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","2000"
