Covidence #,Study ID,Title,Reviewer Name,Study DOI,Year published ,Full title,Study setting ,Disease type (choose all that apply),Model type,"""Other"" details",Stochasticity in model ,Scientific problem being solved,How many parameters were calibrated?,External beliefs or evidence,Choice of parameters to calibrate ,What justification was provided for choice of parameters to calibrate?,"""Other"" details.",Type of data used for defining calibration targets (select all that apply),"""Other"" details ",How many calibration targets were used for estimation?,Resolution of data  used for defining calibration targets,Number of steps: single or sequential? ,Name of calibration algorithm ,"""Other"" details ",Is calibration implementation (code) available in an open-access repository? ,What programming language was used for calibration?,Do authors list any programming packages used for calibration?,Goodness-of-fit (GOF) measure employed within calibration algorithm,"If ""Not clear"", paste the relevant text here. ","""Other"" details",Nature of calibration results,"""Other"" details",How are calibration results reported? ,"""Other"" details.",How is uncertainty in calibration outputs reported? ,"""Other"" details.", What is the size of the calibration output?
1919,Rocha 2018,The effect of immigrant communities coming from higher incidence tuberculosis regions to a host country,Consensus,https://doi.org/10.1007/s11587-017-0350-z,2018,The effect of immigrant communities coming from higher incidence tuberculosis regions to a host country,"Portugal, Angola",TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Least squares estimation,"",Not reported ,Matlab,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"",Numerical: e.g. as value(s).,"",Uncertainty in calibration outputs is not reported.,"",1
1913,Menzies 2018,Prospects for Tuberculosis Elimination in the United States: Results of a Transmission Dynamic Model.,Consensus,https://doi.org/10.1093%2Faje%2Fkwy094,2018,Prospects for Tuberculosis Elimination in the United States: Results of a Transmission Dynamic Model,USA,TB,Compartmental ,"",Deterministic model ,Evaluate interventions; Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Other ,Incremental Mixture Importance Sampling,Not reported ,R; C++,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
1902,Guo 2019,Epidemiological characteristics of pulmonary tuberculosis in mainland China from 2004 to 2015: a model-based analysis.,Consensus,https://doi.org/10.1186/s12889-019-6544-4,2019,Epidemiological characteristics of pulmonary tuberculosis in mainland China from 2004 to 2015: a model-based analysis,China,TB,Not reported,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Single ,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"",Incidence ; Notifications / diagnoses,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Not reported,"",Not reported ,Matlab,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",500
1900,Osman 2019,"Analysis of a vector-bias malaria transmission model with application to Mexico, Sudan and Democratic Republic of the Congo.",Consensus,https://doi.org/10.1016/j.jtbi.2018.12.033,2019,"Analysis of a vector-bias malaria transmission model with application to Mexico, Sudan and Democratic Republic of the Congo","Mexico, Sudan, Democratic Republic of the Congo",Malaria,Compartmental ,"",Not reported,Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"",Notifications / diagnoses,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Approximate Bayesian Computation,"",Not reported ,Matlab,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1897,Kim 2019,Effects of climate change on Plasmodium vivax malaria transmission dynamics: A mathematical modeling approach.,Consensus,https://doi.org/10.1016/j.amc.2018.11.001,2019,Effects of climate change on Plasmodium vivax malaria transmission dynamics: A mathematical modeling approach,South Korea,Malaria,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,Not reported,Subset of parameters,Not reported ,"",Incidence ; Notifications / diagnoses,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"",Numerical: e.g. as value(s).,"",Uncertainty in calibration outputs is not reported.,"",1
1896,Bodzioch 2019,SIS CRISS-CROSS MODEL OF TUBERCULOSIS IN HETEROGENEOUS POPULATION,Consensus,https://www.aimsciences.org/article/doi/10.3934/dcdsb.2019089,2019,SIS CRISS-CROSS MODEL OF TUBERCULOSIS IN HETEROGENEOUS POPULATION,Poland,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions",Multiple,Not reported,Subset of parameters,Not reported ,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution)","",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Not reported,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1888,Gharakhanlou 2019,"Developing an agent-based model for simulating the dynamic spread of Plasmodium vivax malaria: A case study of Sarbaz, Iran",Consensus,https://doi.org/10.1016/j.ecoinf.2019.101006,2019,"Developing an agent-based model for simulating the dynamic spread of Plasmodium vivax malaria: A case study of Sarbaz, Iran",Iran,Malaria,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Prevalence,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Least squares estimation,"",Not reported ,Not reported,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",100
1873,Ullah 2020,A FRACTIONAL MODEL FOR THE DYNAMICS OF TUBERCULOSIS INFECTION USING CAPUTO-FABRIZIO DERIVATIVE,Consensus,https://doi.org/10.1016/j.chaos.2018.09.001,2020,"A FRACTIONAL MODEL FOR THE DYNAMICS OF TUBERCULOSIS INFECTION USING
CAPUTO-FABRIZIO DERIVATIVE",Pakistan,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions",Multiple,Not reported,Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"",Incidence ; Notifications / diagnoses,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Least squares estimation,"",Not reported ,Not reported,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
1871,Liu 2020,Modeling and dynamic analysis of tuberculosis in mainland China from 1998 to 2017: the effect of DOTS strategy and further control.,Consensus,https://doi.org/10.1186/s12976-020-00124-9,2020,Modeling and dynamic analysis of tuberculosis in mainland China from 1998 to 2017: the effect of DOTS strategy and further control,China,TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,Not reported,Subset of parameters,Not reported ,"",Notifications / diagnoses; Other ,the annual reported TB cases,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Least squares estimation,"",Not reported ,Not reported,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1866,Wu 2020,The prevention and control of tuberculosis: an analysis based on a tuberculosis dynamic model derived from the cases of Americans.,Consensus,https://doi.org/10.1186/s12889-020-09260-w,2020,The prevention and control of tuberculosis: an analysis based on a tuberculosis dynamic model derived from the cases of Americans,USA,TB,Compartmental ,"",Not reported,Evaluate interventions; Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Notifications / diagnoses,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Other ,Local sequential quadratic programming (DESQP) optimization algorithm,Not reported ,Matlab,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","",2000
1864,Lin 2020,Shorter antibiotic regimens impact the control efforts in high tuberculosis burden regions of Taiwan.,Consensus,https://doi.org/10.1016/j.ijid.2020.05.082,2020,Shorter antibiotic regimens impact the control efforts in high tuberculosis burden regions of Taiwan,Taiwan,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"","Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,"",Not reported ,Other ,No,Other ,"",mean absolute percentage error,Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000"
1863,Massad 2020,The risk of malaria infection for travelers visiting the Brazilian Amazonian region: A mathematical modeling approach,Consensus,https://doi.org/10.1016/j.tmaid.2020.101792,2020,The risk of malaria infection for travelers visiting the Brazilian Amazonian region: A mathematical modeling approach,Brazil,Malaria,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,Not reported,Subset of parameters,Not reported ,"",Incidence ; Notifications / diagnoses,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Not reported,"",Not reported ,Not reported,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
1861,Cilloni 2020,The potential impact of the COVID-19 pandemic on the tuberculosis epidemic a modelling analysis.,Consensus,https://doi.org/10.1016/j.eclinm.2020.100603,2020,The potential impact of the COVID-19 pandemic on the tuberculosis epidemic a modelling analysis,"India, Kenya, Ukraine",TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",Fraction of drug resistance,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,"",Not reported ,Not reported,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",250
1859,Awine 2020,Accounting for regional transmission variability and the impact of malaria control interventions in Ghana: a population level mathematical modelling approach,Consensus,https://doi.org/10.1186/s12936-020-03496-y,2020,Accounting for regional transmission  variability and the impact of malaria control  interventions in Ghana: a population level mathematical modelling approach,Ghana,Malaria,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"",Notifications / diagnoses,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Approximate Bayesian Computation,"",Not reported ,Not reported,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","15,000"
1858,Menzies 2020,Impact of Effective Global Tuberculosis Control on Health and Economic Outcomes in the United States.,Consensus,10.1164/rccm.202003-0526OC,2020,"Impact of Effective Global Tuberculosis Control on Health and
Economic Outcomes in the United States",United States,TB,Compartmental ,"",Deterministic model ,Evaluate interventions; Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Other ,Bayesian evidence synthesis; incremental mixture importance sampling ,Not reported ,R; C++,Yes,Not reported,"","",Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
1853,Sallah 2020,Targeting Malaria Hotspots to Reduce Transmission Incidence in Senegal.,Consensus,https://dx.doi.org/10.3390/ijerph18010076 ,2020,Targeting Malaria Hotspots to Reduce Transmission Incidence in Senegal,Senegal,Malaria,Compartmental ,"",Deterministic model ,Evaluate interventions; Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"",Incidence ,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Markov Chain Monte Carlo,"",Not reported ,R,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","",Not reported
1849,Menzies 2021,Time Since Infection and Risks of Future Disease for Individuals with Mycobacterium tuberculosis Infection in the United States.,Consensus,https://doi.org/10.1097/EDE.0000000000001271,2021,Time Since Infection and Risks of Future Disease for Individuals with Mycobacterium tuberculosis Infection in the United States,USA,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,Incremental Mixture Importance Sampling,Not reported ,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","5,000"
1848,Kim 2021,Modelling the impact of rapid diagnostic tests on Plasmodium vivax malaria in South Korea: a cost-benefit analysis.,Consensus,http://dx.doi.org/10.1136/bmjgh-2020-004292,2021,Modelling the impact of rapid diagnostic tests on Plasmodium vivax malaria in South Korea: a cost–benefit analysis,South Korea,Malaria,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Parameters are uncertain.,"",Incidence ,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Least squares estimation,"",Not reported ,Not reported,No,Not reported,"","",Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
1847,Jiang 2021,"Assessment of Strategies and Epidemiological Characteristics of Tuberculosis in Henan Province, China: Observational Study.",Consensus,https://doi.org/10.2196%2F24830,2021,"Assessment of Strategies and Epidemiological Characteristics of Tuberculosis in Henan Province, China: Observational Study.",China,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,Bayesian melding,Not reported ,Not reported,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",50000
1846,Fatmawati 2021,AN OPTIMAL CONTROL PROBLEM OF MALARIA MODEL WITH SEASONALITY EFFECT USING REAL DATA,Consensus,https://doi.org/10.28919/cmbn/6059,2021,AN OPTIMAL CONTROL PROBLEM OF MALARIA MODEL WITH SEASONALITY EFFECT USING REAL DATA,Indonesia,Malaria,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",All parameters,Not reported ,"",Incidence ,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Least squares estimation,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1844,Ucakan 2021,"Analysing of Tuberculosis in Turkey through SIR, SEIR and BSEIR Mathematical Models.",Consensus,https://doi.org/10.1080/13873954.2021.1881560,2021,"Analysing of Tuberculosis in Turkey through SIR, SEIR and BSEIR Mathematical Models",Turkey,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"",Incidence ,"",Single ,"Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Least squares estimation,"",Not reported ,Matlab,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1842,Srivastav 2021,Modeling the transmission dynamics of malaria with saturated treatment: a case study of India,Consensus,https://doi.org/10.1007/s12190-020-01469-7,2021,Modeling the transmission dynamics of malaria with saturated treatment: a case study of India,India,Malaria,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ",Single ,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Least squares estimation,"",Not reported ,R,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
1838,Weerasuriya 2021,The epidemiologic impact and cost-effectiveness of new tuberculosis vaccines on multidrug-resistant tuberculosis in India and China.,Consensus,https://doi.org/10.1186/s12916-021-01932-7,2021,The epidemiologic impact and cost-effectiveness of new tuberculosis vaccines on multidrug-resistant tuberculosis in India and China,"India, China",TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Other ,Approximate Bayesian Computation Accept-Reject Random sampling (ABC-RS) and Approximate Bayesian Computation Markov Chain Monte Carlo (ABC-MCMC) rejection sampling process,Not reported ,R,Yes,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
1836,Weerasuriya 2021,Affordability of Adult Tuberculosis Vaccination in India and China: A Dynamic Transmission Model-Based Analysis,Consensus,https://doi.org/10.3390/vaccines9030245,2021,Affordability of Adult Tuberculosis Vaccination in India and China: A Dynamic Transmission Model-Based Analysis,"India, China",TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Not reported,Not reported,Not reported,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
1828,Lee 2021,Age-Specific Mathematical Model for Tuberculosis Transmission Dynamics in South Korea,Consensus,https://doi.org/10.3390/math9080804,2021,Age-Specific Mathematical Model for Tuberculosis Transmission Dynamics in South Korea,South Korea,TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,No prior knowledge is incorporated for parameters to be calibrated. ,Subset of parameters,Parameters are uncertain.,"",Incidence ; Notifications / diagnoses,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Least squares estimation,"",Not reported ,Matlab,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
1826,Yang 2021,The positive externalities of migrant-based TB control strategy in a Chinese urban population with internal migration: a transmission-dynamic modeling study.,Consensus,https://doi.org/10.1186/s12916-021-01968-9,2021,The positive externalities of migrant-based TB control strategy in a Chinese urban population with internal migration: a transmission-dynamic modeling study,China,TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Other ",transmission linkages between migrants and residents ,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Other ,Incremental Mixture Importance Sampling,Link reported and accessible,R; C++,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000"
1822,Zwick 2021,Representing Tuberculosis Transmission with Complex Contagion: An Agent-Based Simulation Modeling Approach.,Consensus,http://doi.org/0.1177/0272989X211007842,2021,"Representing Tuberculosis Transmission with
Complex Contagion: An Agent-Based
Simulation Modeling Approach",Canada,TB,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites)","",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Least squares estimation,"",Not reported ,C++,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",2340
1802,Menzies 2022,The Health and Economic Benefits of Tests That Predict Future Progression to Tuberculosis Disease.,Consensus,10.1097/EDE.0000000000001418,2022,The Health and Economic Benefits of Tests That Predict Future Progression to Tuberculosis Disease,USA,TB,Other,"One deterministic, two individual-based models","",Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses","",Multiple ,"","","","","","","","","","","","","","","","",""
